StateName,Region,Year,% Income HomeOwner,% Income Renter,Cheaper to Own,Buying Cheaper,Renting cheaper,RegionName,HomeOwner,Renter,,,,,,,,,,,,
AK,Pacific,2015,0.226005504,0.197908462,0,163,346,Pacific,39%,27%,,,,,,,,,,,,
AK,Pacific,2016,0.227918973,0.194735898,0,,,West,31%,23%,,,,,,,,,,,,
AK,Pacific,2017,0.234182275,0.189668177,0,,,Northeast,28%,23%,,,,,,,,,,,,
AK,Pacific,2018,0.252360616,0.192052669,0,,,Southeast,23%,24%,,,,,,,,,,,,
AK,Pacific,2019,0.253120378,0.187362412,0,,,South,22%,23%,,,,,,,,,,,,
AK,Pacific,2020,0.233749488,0.188411915,0,,,Midwest,21%,19%,,,,,,,,,,,,
AK,Pacific,2021,0.225193932,0.202761375,0,,,National,27%,27%,,,,,,,,,,,,
AK,Pacific,2022,0.287255869,0.211622171,0,,,,,,,,,,,,,,,,,
AK,Pacific,2023,0.311606169,0.216886835,0,,,,,,,,,,,,,,,,,
AK,Pacific,2024,0.337481773,0.218196855,0,,,,,,,,,,,,,,,,,
AL,South,2015,0.184788682,0.208746897,1,,,,,,,,,,,,,,,,,
AL,South,2016,0.180256587,0.219163599,1,,,,,,,,,,,,,,,,,
AL,South,2017,0.185214147,0.220150001,1,,,,,,,,,,,,,,,,,
AL,South,2018,0.197314964,0.219880166,1,,,,,,,,,,,,,,,,,
AL,South,2019,0.185962766,0.219665243,1,,,,,,,,,,,,,,,,,
AL,South,2020,0.178874001,0.215161267,1,,,,,,,,,,,,,,,,,
AL,South,2021,0.187316034,0.226851843,1,,,,,,,,,,,,,,,,,
AL,South,2022,0.244213978,0.236497097,0,,,,,,,,,,,,,,,,,
AL,South,2023,0.272797134,0.237015441,0,,,,,,,,,,,,,,,,,
AL,South,2024,0.286167009,0.237050869,0,,,,,,,,,,,,,,,,,
AR,South,2015,0.185294868,0.198695377,1,,,,,,,,,,,,,,,,,
AR,South,2016,0.182601963,0.212400306,1,,,,,,,,,,,,,,,,,
AR,South,2017,0.187295684,0.210304616,1,,,,,,,,,,,,,,,,,
AR,South,2018,0.195768544,0.206111357,1,,,,,,,,,,,,,,,,,
AR,South,2019,0.18755249,0.204827284,1,,,,,,,,,,,,,,,,,
AR,South,2020,0.17756842,0.204629113,1,,,,,,,,,,,,,,,,,
AR,South,2021,0.187004651,0.212057098,1,,,,,,,,,,,,,,,,,
AR,South,2022,0.244633474,0.230979457,0,,,,,,,,,,,,,,,,,
AR,South,2023,0.255888345,0.233964561,0,,,,,,,,,,,,,,,,,
AR,South,2024,0.269184126,0.232665166,0,,,,,,,,,,,,,,,,,
AZ,West,2015,0.241719588,0.22434305,0,,,,,,,,,,,,,,,,,
AZ,West,2016,0.240704223,0.225660217,0,,,,,,,,,,,,,,,,,
AZ,West,2017,0.251845965,0.229533455,0,,,,,,,,,,,,,,,,,
AZ,West,2018,0.269582959,0.248981286,0,,,,,,,,,,,,,,,,,
AZ,West,2019,0.263518972,0.257731253,0,,,,,,,,,,,,,,,,,
AZ,West,2020,0.247512805,0.267676796,1,,,,,,,,,,,,,,,,,
AZ,West,2021,0.282824298,0.292867486,1,,,,,,,,,,,,,,,,,
AZ,West,2022,0.390128454,0.301037614,0,,,,,,,,,,,,,,,,,
AZ,West,2023,0.415715208,0.295894415,0,,,,,,,,,,,,,,,,,
AZ,West,2024,0.414657279,0.296493813,0,,,,,,,,,,,,,,,,,
CA,West,2015,0.352081707,0.281722348,0,,,,,,,,,,,,,,,,,
CA,West,2016,0.354533493,0.287809247,0,,,,,,,,,,,,,,,,,
CA,West,2017,0.370982818,0.290259798,0,,,,,,,,,,,,,,,,,
CA,West,2018,0.398799014,0.290211472,0,,,,,,,,,,,,,,,,,
CA,West,2019,0.37473798,0.290703123,0,,,,,,,,,,,,,,,,,
CA,West,2020,0.351141906,0.291241258,0,,,,,,,,,,,,,,,,,
CA,West,2021,0.376983125,0.304000152,0,,,,,,,,,,,,,,,,,
CA,West,2022,0.500686843,0.318441291,0,,,,,,,,,,,,,,,,,
CA,West,2023,0.535523687,0.316312779,0,,,,,,,,,,,,,,,,,
CA,West,2024,0.54017566,0.319265739,0,,,,,,,,,,,,,,,,,
CO,West,2015,0.25144545,0.22371081,0,,,,,,,,,,,,,,,,,
CO,West,2016,0.262223684,0.225586598,0,,,,,,,,,,,,,,,,,
CO,West,2017,0.283140036,0.228314948,0,,,,,,,,,,,,,,,,,
CO,West,2018,0.302558197,0.227648172,0,,,,,,,,,,,,,,,,,
CO,West,2019,0.297623618,0.228775843,0,,,,,,,,,,,,,,,,,
CO,West,2020,0.274694808,0.227842458,0,,,,,,,,,,,,,,,,,
CO,West,2021,0.291525718,0.236499439,0,,,,,,,,,,,,,,,,,
CO,West,2022,0.399426286,0.248436662,0,,,,,,,,,,,,,,,,,
CO,West,2023,0.433054364,0.249819762,0,,,,,,,,,,,,,,,,,
CO,West,2024,0.437303253,0.252600322,0,,,,,,,,,,,,,,,,,
CT,Northeast,2015,0.264946727,0.203783595,0,,,,,,,,,,,,,,,,,
CT,Northeast,2016,0.258236278,0.204184577,0,,,,,,,,,,,,,,,,,
CT,Northeast,2017,0.264640541,0.205346971,0,,,,,,,,,,,,,,,,,
CT,Northeast,2018,0.275757867,0.207301955,0,,,,,,,,,,,,,,,,,
CT,Northeast,2019,0.260816166,0.209432,0,,,,,,,,,,,,,,,,,
CT,Northeast,2020,0.244554014,0.212171964,0,,,,,,,,,,,,,,,,,
CT,Northeast,2021,0.256177956,0.222799723,0,,,,,,,,,,,,,,,,,
CT,Northeast,2022,0.317293613,0.234194381,0,,,,,,,,,,,,,,,,,
CT,Northeast,2023,0.35897334,0.23902717,0,,,,,,,,,,,,,,,,,
CT,Northeast,2024,0.375559529,0.248780629,0,,,,,,,,,,,,,,,,,
DE,Northeast,2015,0.232708593,0.247996588,1,,,,,,,,,,,,,,,,,
DE,Northeast,2016,0.230027432,0.247333856,1,,,,,,,,,,,,,,,,,
DE,Northeast,2017,0.242624031,0.249643908,1,,,,,,,,,,,,,,,,,
DE,Northeast,2018,0.255032995,0.249557769,0,,,,,,,,,,,,,,,,,
DE,Northeast,2019,0.242498644,0.248577647,1,,,,,,,,,,,,,,,,,
DE,Northeast,2020,0.221269232,0.245838894,1,,,,,,,,,,,,,,,,,
DE,Northeast,2021,0.229715916,0.259687321,1,,,,,,,,,,,,,,,,,
DE,Northeast,2022,0.308065828,0.270750909,0,,,,,,,,,,,,,,,,,
DE,Northeast,2023,0.352337212,0.273458815,0,,,,,,,,,,,,,,,,,
DE,Northeast,2024,0.395533148,0.280785848,0,,,,,,,,,,,,,,,,,
FL,Southeast,2015,0.245260558,0.266802919,1,,,,,,,,,,,,,,,,,
FL,Southeast,2016,0.249453218,0.269786501,1,,,,,,,,,,,,,,,,,
FL,Southeast,2017,0.262045893,0.272547136,1,,,,,,,,,,,,,,,,,
FL,Southeast,2018,0.275787951,0.272672821,0,,,,,,,,,,,,,,,,,
FL,Southeast,2019,0.260866004,0.273260816,1,,,,,,,,,,,,,,,,,
FL,Southeast,2020,0.247611597,0.27505927,1,,,,,,,,,,,,,,,,,
FL,Southeast,2021,0.26390891,0.302324844,1,,,,,,,,,,,,,,,,,
FL,Southeast,2022,0.369479215,0.330932212,0,,,,,,,,,,,,,,,,,
FL,Southeast,2023,0.412902339,0.329522601,0,,,,,,,,,,,,,,,,,
FL,Southeast,2024,0.424779327,0.327955754,0,,,,,,,,,,,,,,,,,
GA,Southeast,2015,0.196679295,0.224377707,1,,,,,,,,,,,,,,,,,
GA,Southeast,2016,0.192352069,0.221263945,1,,,,,,,,,,,,,,,,,
GA,Southeast,2017,0.197572684,0.214506872,1,,,,,,,,,,,,,,,,,
GA,Southeast,2018,0.208227392,0.215192505,1,,,,,,,,,,,,,,,,,
GA,Southeast,2019,0.201936379,0.217242573,1,,,,,,,,,,,,,,,,,
GA,Southeast,2020,0.191923934,0.225219069,1,,,,,,,,,,,,,,,,,
GA,Southeast,2021,0.201569966,0.249311706,1,,,,,,,,,,,,,,,,,
GA,Southeast,2022,0.265494092,0.259266416,0,,,,,,,,,,,,,,,,,
GA,Southeast,2023,0.295438875,0.25562519,0,,,,,,,,,,,,,,,,,
GA,Southeast,2024,0.309101468,0.257783654,0,,,,,,,,,,,,,,,,,
HI,Pacific,2015,0.430633316,0.293176939,0,,,,,,,,,,,,,,,,,
