region,statename,avg_2015,avg_2016,avg_2017,avg_2018,avg_2019,avg_2020,avg_2021,avg_2022,avg_2023,avg_2024,avg_10_year
West,AK,0.25,0.25,0.25,0.27,0.25,0.23,0.24,0.33,0.35,0.34,0.28
Southeast,AL,0.19,0.2,0.2,0.21,0.2,0.19,0.21,0.29,0.31,0.3,0.23
Southeast,AR,0.2,0.2,0.2,0.2,0.19,0.18,0.2,0.26,0.27,0.27,0.22
Southwest,AZ,0.24,0.24,0.25,0.28,0.26,0.24,0.3,0.42,0.42,0.4,0.3
West,CA,0.37,0.37,0.38,0.41,0.38,0.35,0.4,0.55,0.57,0.55,0.43
West,CO,0.28,0.29,0.3,0.33,0.3,0.28,0.32,0.46,0.48,0.45,0.35
Northeast,CT,0.27,0.26,0.26,0.28,0.26,0.24,0.26,0.35,0.38,0.38,0.29
Northeast,DE,0.26,0.26,0.27,0.28,0.25,0.23,0.26,0.36,0.39,0.39,0.3
Southeast,FL,0.23,0.24,0.24,0.26,0.24,0.23,0.27,0.39,0.42,0.42,0.29
Southeast,GA,0.21,0.2,0.21,0.22,0.21,0.19,0.22,0.3,0.32,0.3,0.24
West,HI,0.4,0.41,0.42,0.47,0.41,0.38,0.42,0.61,0.62,0.6,0.47
West,ID,0.23,0.24,0.25,0.28,0.27,0.27,0.34,0.43,0.43,0.4,0.31
Midwest,IN,0.38,0.15,0.15,0.17,0.16,0.16,0.18,0.24,0.26,0.25,0.21
Northeast,MA,0.29,0.29,0.3,0.32,0.29,0.28,0.31,0.42,0.46,0.45,0.34
Northeast,MD,0.21,0.2,0.2,0.21,0.2,0.18,0.2,0.28,0.3,0.28,0.23
Northeast,ME,0.23,0.24,0.24,0.26,0.24,0.23,0.26,0.35,0.39,0.37,0.28
Midwest,MI,0.18,0.18,0.18,0.19,0.18,0.17,0.19,0.25,0.28,0.27,0.21
Midwest,MN,0.21,0.21,0.22,0.23,0.22,0.21,0.22,0.3,0.31,0.3,0.24
Midwest,MO,0.19,0.19,0.19,0.2,0.19,0.18,0.2,0.26,0.27,0.27,0.21
Southeast,NC,0.21,0.21,0.21,0.23,0.22,0.2,0.23,0.33,0.35,0.33,0.25
Northeast,NJ,0.26,0.26,0.26,0.28,0.26,0.25,0.26,0.34,0.37,0.38,0.29
West,NV,0.26,0.27,0.28,0.32,0.3,0.28,0.33,0.45,0.45,0.44,0.34
Northeast,NY,0.44,0.44,0.45,0.48,0.44,0.41,0.44,0.57,0.59,0.58,0.48
Midwest,OH,0.16,0.15,0.16,0.16,0.15,0.15,0.16,0.21,0.23,0.21,0.17
Southwest,OK,0.19,0.2,0.2,0.21,0.19,0.19,0.21,0.28,0.3,0.31,0.23
West,OR,0.31,0.32,0.33,0.35,0.32,0.3,0.34,0.45,0.45,0.43,0.36
Northeast,PA,0.21,0.19,0.2,0.21,0.2,0.18,0.21,0.29,0.31,0.3,0.23
Northeast,RI,0.3,0.29,0.3,0.32,0.3,0.28,0.31,0.42,0.45,0.45,0.34
Southeast,SC,0.22,0.22,0.23,0.24,0.23,0.21,0.24,0.34,0.35,0.34,0.26
Southwest,TX,0.22,0.23,0.23,0.25,0.23,0.22,0.24,0.32,0.32,0.3,0.26
United States,United States,0.23,0.23,0.24,0.26,0.24,0.23,0.26,0.35,0.37,0.35,0.28
Southeast,VA,0.22,0.22,0.22,0.24,0.22,0.21,0.23,0.32,0.34,0.33,0.26
