region,statename,avg_2015,avg_2016,avg_2017,avg_2018,avg_2019,avg_2020,avg_2021,avg_2022,avg_2023,avg_2024,avg_10_year
West,AK,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.21,0.21,0.2
Southeast,AL,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.23,0.24,0.24,0.22
Southeast,AR,0.21,0.21,0.21,0.2,0.2,0.2,0.22,0.22,0.22,0.23,0.21
Southwest,AZ,0.23,0.23,0.23,0.23,0.25,0.25,0.29,0.28,0.28,0.28,0.26
West,CA,0.29,0.29,0.29,0.29,0.3,0.3,0.32,0.33,0.33,0.33,0.31
West,CO,0.23,0.23,0.24,0.24,0.24,0.24,0.26,0.26,0.27,0.27,0.25
Northeast,CT,0.2,0.2,0.2,0.21,0.21,0.22,0.23,0.24,0.24,0.25,0.22
Northeast,DE,0.25,0.24,0.25,0.25,0.25,0.24,0.28,0.27,0.28,0.28,0.26
Southeast,FL,0.27,0.27,0.27,0.27,0.28,0.28,0.32,0.33,0.32,0.32,0.29
Southeast,GA,0.23,0.23,0.22,0.23,0.23,0.24,0.26,0.26,0.27,0.27,0.24
West,HI,0.29,0.29,0.29,0.29,0.29,0.28,0.3,0.29,0.29,0.3,0.29
Midwest,IA,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.17
West,ID,0.18,0.18,0.18,0.19,0.19,0.2,0.22,0.22,0.22,0.22,0.2
Midwest,IL,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.21,0.21,0.22,0.2
Midwest,IN,0.18,0.18,0.18,0.18,0.18,0.19,0.2,0.21,0.21,0.22,0.19
Midwest,KS,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.19
Southeast,KY,0.19,0.19,0.2,0.2,0.2,0.2,0.22,0.22,0.23,0.24,0.21
Southeast,LA,0.26,0.27,0.26,0.25,0.25,0.25,0.27,0.27,0.27,0.27,0.26
Northeast,MA,0.2,0.2,0.21,0.21,0.22,0.22,0.24,0.24,0.25,0.26,0.22
Northeast,MD,0.19,0.19,0.19,0.19,0.19,0.19,0.21,0.21,0.21,0.22,0.2
Northeast,ME,0.24,0.24,0.24,0.24,0.25,0.26,0.28,0.27,0.27,0.27,0.26
Midwest,MI,0.2,0.21,0.21,0.21,0.22,0.22,0.24,0.24,0.24,0.25,0.22
Midwest,MN,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.22,0.2
Midwest,MO,0.18,0.18,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.21,0.19
Southeast,MS,0.22,0.22,0.23,0.23,0.24,0.24,0.27,0.27,0.28,0.28,0.25
West,MT,0.19,0.18,0.18,0.19,0.19,0.19,0.2,0.22,0.23,0.23,0.2
Southeast,NC,0.22,0.22,0.22,0.23,0.23,0.23,0.25,0.26,0.26,0.26,0.24
Midwest,NE,0.16,0.17,0.16,0.16,0.17,0.17,0.18,0.18,0.18,0.19,0.17
Northeast,NH,0.17,0.18,0.18,0.19,0.2,0.2,0.22,0.21,0.22,0.22,0.2
Northeast,NJ,0.24,0.24,0.24,0.24,0.24,0.24,0.26,0.28,0.29,0.29,0.26
Southwest,NM,0.24,0.24,0.25,0.24,0.24,0.25,0.28,0.27,0.28,0.28,0.26
West,NV,0.22,0.22,0.24,0.24,0.24,0.25,0.28,0.26,0.26,0.26,0.25
Northeast,NY,0.2,0.19,0.19,0.19,0.2,0.2,0.21,0.21,0.22,0.22,0.2
Midwest,OH,0.18,0.18,0.18,0.18,0.18,0.18,0.2,0.2,0.21,0.22,0.19
Southwest,OK,0.2,0.2,0.19,0.19,0.2,0.2,0.22,0.22,0.23,0.23,0.21
West,OR,0.24,0.25,0.25,0.25,0.26,0.26,0.28,0.27,0.26,0.26,0.26
Northeast,PA,0.19,0.18,0.19,0.19,0.19,0.19,0.21,0.22,0.23,0.23,0.2
Northeast,RI,0.22,0.22,0.22,0.23,0.23,0.23,0.25,0.26,0.27,0.28,0.24
Southeast,SC,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27,0.28,0.28,0.25
Southeast,TN,0.22,0.22,0.22,0.22,0.23,0.23,0.26,0.26,0.26,0.26,0.24
Southwest,TX,0.24,0.24,0.24,0.23,0.23,0.23,0.25,0.25,0.25,0.25,0.24
West,UT,0.18,0.18,0.18,0.19,0.19,0.19,0.21,0.2,0.2,0.2,0.19
Southeast,VA,0.21,0.21,0.2,0.2,0.21,0.21,0.22,0.23,0.23,0.24,0.22
West,WA,0.21,0.21,0.22,0.22,0.22,0.22,0.25,0.24,0.24,0.25,0.23
Midwest,WI,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.22,0.22,0.2
West,WY,0.18,0.18,0.18,0.17,0.18,0.19,0.2,0.2,0.2,0.2,0.19
