region,statename,avg_2015,avg_2016,avg_2017,avg_2018,avg_2019,avg_2020,avg_2021,avg_2022,avg_2023,avg_2024
West,AK,0.25,0.25,0.25,0.27,0.25,0.23,0.24,0.33,0.35,0.34
Southeast,AL,0.18,0.19,0.19,0.2,0.19,0.18,0.2,0.28,0.29,0.28
Southeast,AL,0.18,0.18,0.18,0.19,0.18,0.17,0.2,0.27,0.28,0.26
Southeast,AL,0.17,0.18,0.18,0.19,0.18,0.17,0.19,0.26,0.28,0.27
Southeast,AL,0.24,0.23,0.23,0.26,0.24,0.23,0.26,0.36,0.39,0.38
Southeast,AR,0.2,0.2,0.2,0.2,0.19,0.18,0.2,0.26,0.27,0.27
Southwest,AZ,0.24,0.24,0.24,0.27,0.25,0.23,0.29,0.4,0.4,0.37
Southwest,AZ,0.24,0.24,0.24,0.27,0.25,0.24,0.28,0.39,0.38,0.36
Southwest,AZ,0.2,0.2,0.21,0.23,0.21,0.19,0.23,0.33,0.33,0.31
Southwest,AZ,0.32,0.33,0.34,0.38,0.36,0.35,0.44,0.62,0.63,0.6
Southwest,AZ,0.21,0.21,0.21,0.23,0.23,0.21,0.24,0.36,0.38,0.36
West,CA,0.47,0.47,0.5,0.56,0.5,0.47,0.52,0.73,0.77,0.74
West,CA,0.48,0.47,0.48,0.53,0.48,0.44,0.5,0.67,0.69,0.66
West,CA,0.32,0.32,0.34,0.37,0.33,0.31,0.36,0.5,0.51,0.49
West,CA,0.42,0.42,0.43,0.46,0.41,0.39,0.44,0.63,0.67,0.65
West,CA,0.32,0.33,0.34,0.37,0.33,0.31,0.36,0.48,0.47,0.45
West,CA,0.48,0.44,0.45,0.58,0.48,0.44,0.5,0.69,0.74,0.74
West,CA,0.28,0.28,0.29,0.32,0.29,0.26,0.3,0.42,0.43,0.42
West,CA,0.39,0.4,0.41,0.44,0.4,0.38,0.42,0.58,0.61,0.58
West,CA,0.31,0.32,0.34,0.37,0.34,0.3,0.35,0.47,0.48,0.45
West,CA,0.27,0.29,0.3,0.33,0.31,0.28,0.32,0.43,0.43,0.41
West,CA,0.44,0.44,0.45,0.5,0.44,0.4,0.43,0.59,0.62,0.58
West,CA,0.25,0.26,0.27,0.28,0.25,0.24,0.27,0.36,0.36,0.34
West,CA,0.3,0.31,0.31,0.34,0.32,0.31,0.35,0.47,0.46,0.43
West,CA,0.47,0.47,0.47,0.51,0.45,0.42,0.48,0.73,0.8,0.77
West,CA,0.43,0.43,0.44,0.47,0.43,0.4,0.45,0.66,0.72,0.69
