region,statename,avg_2015,avg_2016,avg_2017,avg_2018,avg_2019,avg_2020,avg_2021,avg_2022,avg_2023,avg_2024
West,AK,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.21,0.21
Southeast,AL,0.21,0.2,0.2,0.2,0.2,0.21,0.22,0.21,0.22,0.22
Southeast,AL,0.17,0.17,0.17,0.17,0.18,0.19,0.21,0.2,0.2,0.2
Southeast,AL,0.21,0.21,0.22,0.22,0.22,0.22,0.25,0.26,0.27,0.27
Southeast,AL,0.22,0.22,0.21,0.21,0.21,0.22,0.24,0.23,0.23,0.24
Southeast,AL,0.23,0.23,0.23,0.23,0.22,0.23,0.27,0.26,0.26,0.27
Southeast,AR,0.2,0.2,0.2,0.19,0.2,0.2,0.22,0.21,0.21,0.22
Southeast,AR,0.22,0.22,0.22,0.21,0.21,0.21,0.23,0.23,0.24,0.24
Southwest,AZ,0.21,0.21,0.21,0.21,0.22,0.22,0.26,0.25,0.25,0.24
Southwest,AZ,0.22,0.22,0.22,0.22,0.23,0.24,0.27,0.26,0.26,0.26
Southwest,AZ,0.25,0.26,0.26,0.27,0.29,0.3,0.35,0.34,0.34,0.34
West,CA,0.29,0.29,0.29,0.29,0.3,0.3,0.34,0.34,0.33,0.33
West,CA,0.3,0.3,0.3,0.3,0.3,0.29,0.32,0.33,0.33,0.33
West,CA,0.25,0.26,0.26,0.26,0.27,0.27,0.29,0.28,0.27,0.27
West,CA,0.28,0.27,0.28,0.28,0.29,0.29,0.32,0.32,0.33,0.33
West,CA,0.28,0.29,0.29,0.29,0.3,0.3,0.32,0.32,0.32,0.32
West,CA,0.28,0.29,0.3,0.3,0.31,0.3,0.32,0.32,0.31,0.31
West,CA,0.24,0.25,0.26,0.27,0.27,0.28,0.29,0.29,0.28,0.29
West,CA,0.29,0.29,0.3,0.3,0.29,0.28,0.3,0.3,0.3,0.3
West,CA,0.28,0.28,0.28,0.26,0.26,0.26,0.3,0.29,0.27,0.28
West,CA,0.25,0.26,0.26,0.27,0.28,0.28,0.3,0.29,0.28,0.28
West,CA,0.36,0.36,0.36,0.36,0.37,0.36,0.42,0.45,0.46,0.46
West,CA,0.3,0.3,0.31,0.31,0.31,0.3,0.32,0.34,0.35,0.36
West,CA,0.31,0.32,0.32,0.33,0.32,0.32,0.34,0.35,0.36,0.37
West,CA,0.25,0.27,0.26,0.26,0.28,0.29,0.34,0.36,0.39,0.4
West,CA,0.34,0.34,0.34,0.34,0.34,0.33,0.35,0.36,0.35,0.36
West,CA,0.27,0.27,0.27,0.26,0.28,0.27,0.28,0.29,0.29,0.3
West,CO,0.21,0.21,0.22,0.22,0.23,0.23,0.25,0.24,0.23,0.23
West,CO,0.24,0.23,0.23,0.23,0.23,0.22,0.24,0.24,0.25,0.25
West,CO,0.28,0.27,0.27,0.27,0.27,0.27,0.29,0.3,0.31,0.32
West,CO,0.2,0.21,0.22,0.22,0.22,0.22,0.24,0.26,0.28,0.29
Northeast,CT,0.19,0.19,0.19,0.2,0.2,0.2,0.22,0.22,0.23,0.24
Northeast,CT,0.23,0.23,0.23,0.24,0.24,0.25,0.27,0.27,0.27,0.28
Northeast,CT,0.22,0.22,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.26
Northeast,CT,0.17,0.17,0.18,0.18,0.18,0.18,0.2,0.21,0.22,0.23
Northeast,DE,0.26,0.25,0.25,0.25,0.25,0.24,0.26,0.27,0.27,0.28
Northeast,DE,0.24,0.24,0.25,0.25,0.25,0.25,0.29,0.27,0.28,0.28
Southeast,FL,0.36,0.36,0.35,0.35,0.35,0.34,0.41,0.42,0.41,0.41
Southeast,FL,0.27,0.27,0.27,0.28,0.28,0.28,0.33,0.33,0.33,0.33
Southeast,FL,0.27,0.27,0.27,0.27,0.27,0.27,0.31,0.31,0.3,0.3
Southeast,FL,0.22,0.22,0.22,0.22,0.23,0.23,0.26,0.26,0.25,0.25
Southeast,FL,0.29,0.29,0.29,0.28,0.28,0.28,0.34,0.34,0.34,0.34
Southeast,FL,0.26,0.27,0.27,0.26,0.26,0.26,0.32,0.35,0.36,0.34
